Node ID,Node Path,Query,Refinement Link
13838371,"Arts, Crafts & Sewing/Sewing/Storage & Furniture/Sewing Baskets",item_type_keyword:sewing-baskets,See Available Refinements
12897091,"Arts, Crafts & Sewing/Sewing/Storage & Furniture/Sewing Cabinets",item_type_keyword:sewing-cabinets,See Available Refinements
262670011,"Arts, Crafts & Sewing/Sewing/Storage & Furniture/Storage",item_type_keyword:sewing-storage-products,See Available Refinements
12897331,"Arts, Crafts & Sewing/Sewing/Thread & Floss",,See Available Refinements
262659011,"Arts, Crafts & Sewing/Sewing/Thread & Floss/Embroidery Thread & Floss",,See Available Refinements
8090728011,"Arts, Crafts & Sewing/Sewing/Thread & Floss/Embroidery Thread & Floss/Embroidery Machine Thread",item_type_keyword:machine-embroidery-thread,See Available Refinements
8090727011,"Arts, Crafts & Sewing/Sewing/Thread & Floss/Embroidery Thread & Floss/Floss",item_type_keyword:embroidery-floss,See Available Refinements
262660011,"Arts, Crafts & Sewing/Sewing/Thread & Floss/Quilting",item_type_keyword:quilting-thread,See Available Refinements
262661011,"Arts, Crafts & Sewing/Sewing/Thread & Floss/Serger",item_type_keyword:serger-thread,See Available Refinements
12899561,"Arts, Crafts & Sewing/Sewing/Thread & Floss/Sewing",item_type_keyword:thread,See Available Refinements
12899361,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments",item_type_keyword:sewing-embellishments,See Available Refinements
8090726011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Appliques & Decorative Patches",,See Available Refinements
12899371,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Appliques & Decorative Patches/Appliques",item_type_keyword:applique-patches,See Available Refinements
8091004011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Appliques & Decorative Patches/Decorative Patches",item_type_keyword:sewing-decorative-patches,See Available Refinements
262706011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Beaded Trim",item_type_keyword:craft-beaded-trim,See Available Refinements
262691011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Bias Tape",item_type_keyword:sewing-bias-tape,See Available Refinements
12899421,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Braids & Cords",,See Available Refinements
2933776011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Braids & Cords/Braids",item_type_keyword:craft-braid-trim,See Available Refinements
2933777011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Braids & Cords/Cords",item_type_keyword:craft-cord-trim,See Available Refinements
8091012011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Fabric Stud & Gem Setters",item_type_keyword:fabric-stud-and-gem-setters,See Available Refinements
262707011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Fringe Trim",item_type_keyword:craft-fringe-trim,See Available Refinements
7756240011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Iron-on Transfers",item_type_keyword:fabric-iron-on-transfers,See Available Refinements
689401011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Lace",item_type_keyword:craft-lace,See Available Refinements
8091006011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Piping",item_type_keyword:craft-piping-trim,See Available Refinements
12899401,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Rhinestones & Sequins",,See Available Refinements
2933778011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Rhinestones & Sequins/Rhinestones",item_type_keyword:rhinestone-embellishments,See Available Refinements
2933779011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Rhinestones & Sequins/Sequins",item_type_keyword:sequin-embellishments,See Available Refinements
12899411,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Ribbons",item_type_keyword:fabric-ribbons,See Available Refinements
262708011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Rick Rack",item_type_keyword:craft-rick-rack,See Available Refinements
8091008011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Ruffle Trim",item_type_keyword:craft-ruffle-trim,See Available Refinements
8091010011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Sequin Trim",item_type_keyword:craft-sequin-trim,See Available Refinements
262709011,"Arts, Crafts & Sewing/Sewing/Trim & Embellishments/Tassels",item_type_keyword:craft-tassels,See Available Refinements
